file	sha256	bytes
01-general.yaml	e3b8467e7288f08bd42b7c81a4b568919536ef536da730346ee201a02e3d68d3	76896
02-items.yaml	5244b25d82bb8eafb01f65392f017bfb27040029b6c20b97e13c186323df9066	392496
03-orders-fbs.yaml	62d8384308e91c2df19f0f898d69371348ba00b234cf4efd470ed7eac0e588e4	285430
04-orders-dbw.yaml	968bd0823e1df86a5aef65609fe47a46dd0a06c2ff0c0976d6f24d92c07e47f9	106191
05-dbs.yaml	df47207784728e4edad70524cbde8209af6093ad8797c45961a88c9398cfdf5e	143917
06-in-store-pickup.yaml	ec013121d378ecaae9bfbafe16fba0726ebb4841608b76559e7f4f16283d9c2e	117593
07-orders-fbw.yaml	ed21497a8108e01b9bfcd9881bd6d745298715b0c25afc4e5cc12e10c36542bc	51339
08-promotion.yaml	4b097841f1c487c49405abef5e9c54b58c5764911d9c74c4692ee708e5049ed0	270721
09-communications.yaml	e0547e42dd25200d2494cbc5463e423e3f7cd5e02007626c9548a935e002a5b3	191268
10-rates.yaml	48716be16bfb84ecbd8f287a15e54429b01c1824d3fafe920e1a73229f8e0bdf	44231
11-analytics.yaml	98fbb4bc33ec2e01e8425dae38d9256a46e75fa2625471993c6f1d19cc873c2b	290441
12-reports.yaml	07f737cd6cc5888d124e3b29dcc171fbcbcd7bde9b61978df432a6fcdd245bc0	151560
13-finances.yaml	27350fecfae8968f4ffc156c6b0b8bff615712aa773eed4325c472c43e5d0d5e	83024
14-wbd.yaml	b8dc1eea23c15a764d81ff683475b8abcdae4eabc0e64c094c825ae7f2a77c78	130323
